entity,residual_mean,residual_abs_mean,high_share
Bleach (combined),0.21492188721384703,0.4353589614740368,0.33668341708542715
Naruto (combined),0.16711439436097197,0.47262365052865885,0.38731218697829717
One Piece,0.12178264814814817,0.34621468518518517,0.245
