entity,num_reviews,mean_vader,median_vader,std_vader,positive_pct,negative_pct
Bleach (combined),597,0.7213428810720268,0.9736,0.5642794039081234,0.8760469011725294,0.11892797319932999
Naruto (combined),599,0.6158252086811353,0.9687,0.6791599765357262,0.8163606010016694,0.18196994991652754
One Piece,600,0.7436345,0.98065,0.5629346664201029,0.8833333333333333,0.11166666666666666
